fName,lName,dob,program,year,country
Kaila,Muirden,10-07-2012,CBC,2023,Nigeria
Aida,MacKonochie,21-07-2000,ASCG,2021,South Africa
Clair,Lundie,05-01-2006,DSC,2015,Uganda
Andromache,Rubra,01-09-2008,ASCG,2015,Nigeria
Gratiana,Deare,16-11-2007,ASCG,2022,Nigeria
Kiley,Schmuhl,01-11-2004,ASCG,2018,Kenya
Devonne,Dackombe,25-04-2009,ASCG,2025,Togo
Chelsey,Edgell,04-06-2011,ASCG,2019,Benin
Danika,Bowlesworth,13-05-2012,ASCG,2022,Nigeria
Rosabella,Doorbar,02-04-2006,ASCG,2025,Kenya
Shina,Ewbanck,07-11-2008,ASCG,2022,South Africa
Claudine,Carbry,23-09-2012,ASCG,2016,South Africa
Rosene,Yuranovev,22-06-2000,ASCG,2020,Kenya
Callie,Blenkiron,30-12-2002,ASCG,2019,South Africa
Blinni,Denness,21-07-2012,ASCG,2019,Nigeria
Mirabella,Eacle,07-02-2008,ASCG,2016,Nigeria
Genevieve,Berling,19-08-2012,ASCG,2021,Uganda
Tybie,Madden,27-01-2001,ASCG,2018,South Africa
Maible,Passman,26-01-2001,ASCG,2024,Nigeria
Hildy,Boxill,04-03-2005,ASCG,2018,Nigeria
Kessia,Crumbie,09-06-2011,ASCG,2019,Nigeria
Madelon,Akess,05-07-2004,ASCG,2025,South Africa
Jessamine,Jeger,14-08-2002,ASCG,2024,Botswana
Dalila,Nolleth,30-01-2007,ASCG,2023,Zimbabwe
Katerine,Sedworth,30-01-2007,ASCG,2025,Uganda
Gusty,Tesdale,12-09-2008,ASCG,2016,Eritrea
Glynnis,Stemp,27-12-2005,ASCG,2023,Kenya
Dian,Betton,02-02-2005,CBC,2021,South Africa
Zia,Fiddyment,05-03-2009,ASCG,2019,Ghana
Cherida,Rissom,02-11-2006,ASCG,2017,Nigeria
Edi,Tustin,27-08-2000,ASCG,2021,Nigeria
Allegra,Khrishtafovich,08-04-2008,ASCG,2022,Uganda
Batsheva,Arnet,12-09-2002,ASCG,2020,Benin
